<<<<<<< HEAD
t,MV,PV,DV
2.400000000000000000e+01,5.000000000000000000e+01,5.792999999999999972e+01,7.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,5.796000000000000085e+01,7.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,5.796000000000000085e+01,7.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,5.796000000000000085e+01,7.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,5.796000000000000085e+01,7.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,5.796000000000000085e+01,7.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,5.796000000000000085e+01,7.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,5.796000000000000085e+01,7.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,5.799000000000000199e+01,7.000000000000000000e+01
=======
t,MV,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,5.699000000000000199e+01,3.000000000000000000e+01
1.000000000000000000e+00,5.000000000000000000e+01,5.711999999999999744e+01,3.000000000000000000e+01
2.000000000000000000e+00,5.000000000000000000e+01,5.709000000000000341e+01,3.000000000000000000e+01
3.000000000000000000e+00,5.000000000000000000e+01,5.728000000000000114e+01,3.000000000000000000e+01
4.000000000000000000e+00,5.000000000000000000e+01,5.731000000000000227e+01,3.000000000000000000e+01
5.000000000000000000e+00,5.000000000000000000e+01,5.731000000000000227e+01,3.000000000000000000e+01
6.000000000000000000e+00,5.000000000000000000e+01,5.731000000000000227e+01,3.000000000000000000e+01
7.000000000000000000e+00,5.000000000000000000e+01,5.731000000000000227e+01,3.000000000000000000e+01
8.000000000000000000e+00,5.000000000000000000e+01,5.731000000000000227e+01,3.000000000000000000e+01
9.000000000000000000e+00,5.000000000000000000e+01,5.735000000000000142e+01,3.000000000000000000e+01
1.000000000000000000e+01,5.000000000000000000e+01,5.743999999999999773e+01,7.000000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+01,5.757000000000000028e+01,7.000000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+01,5.757000000000000028e+01,7.000000000000000000e+01
1.300000000000000000e+01,5.000000000000000000e+01,5.764000000000000057e+01,7.000000000000000000e+01
1.400000000000000000e+01,5.000000000000000000e+01,5.764000000000000057e+01,7.000000000000000000e+01
1.500000000000000000e+01,5.000000000000000000e+01,5.764000000000000057e+01,7.000000000000000000e+01
1.600000000000000000e+01,5.000000000000000000e+01,5.764000000000000057e+01,7.000000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+01,5.764000000000000057e+01,7.000000000000000000e+01
1.800000000000000000e+01,5.000000000000000000e+01,5.764000000000000057e+01,7.000000000000000000e+01
1.900000000000000000e+01,5.000000000000000000e+01,5.764000000000000057e+01,7.000000000000000000e+01
2.000000000000000000e+01,5.000000000000000000e+01,5.767000000000000171e+01,7.000000000000000000e+01
2.100000000000000000e+01,5.000000000000000000e+01,5.772999999999999687e+01,7.000000000000000000e+01
2.200000000000000000e+01,5.000000000000000000e+01,5.779999999999999716e+01,7.000000000000000000e+01
2.300000000000000000e+01,5.000000000000000000e+01,5.785999999999999943e+01,7.000000000000000000e+01
2.400000000000000000e+01,5.000000000000000000e+01,5.792999999999999972e+01,7.000000000000000000e+01
2.500000000000000000e+01,5.000000000000000000e+01,5.796000000000000085e+01,7.000000000000000000e+01
2.600000000000000000e+01,5.000000000000000000e+01,5.796000000000000085e+01,7.000000000000000000e+01
2.700000000000000000e+01,5.000000000000000000e+01,5.796000000000000085e+01,7.000000000000000000e+01
2.800000000000000000e+01,5.000000000000000000e+01,5.796000000000000085e+01,7.000000000000000000e+01
2.900000000000000000e+01,5.000000000000000000e+01,5.796000000000000085e+01,7.000000000000000000e+01
3.000000000000000000e+01,5.000000000000000000e+01,5.796000000000000085e+01,7.000000000000000000e+01
3.100000000000000000e+01,5.000000000000000000e+01,5.796000000000000085e+01,7.000000000000000000e+01
3.200000000000000000e+01,5.000000000000000000e+01,5.799000000000000199e+01,7.000000000000000000e+01
>>>>>>> origin/main
